key,en,context
"globesos","GlobeSoS","app\auth\register\page.tsx; app\auth\login\page.tsx; app\about\page.tsx; components\hero.tsx; components\footer.tsx; components\dashboard\header.tsx"
"auth_welcomeback","auth.welcomeBack","app\auth\login\page.tsx"
"auth_signintodashboard","auth.signInToDashboard","app\auth\login\page.tsx"
"auth_donthaveaccount","auth.dontHaveAccount","app\auth\login\page.tsx"
"auth_registerasresponder","auth.registerAsResponder","app\auth\login\page.tsx"
"bucket","bucket","app\api\upload\route.ts"
"folder","folder","app\api\upload\route.ts"
"created_at_updated_at_status","created_at, updated_at, status","app\api\stats\route.ts"
"location","location","app\api\stats\route.ts; app\api\analytics\geographic\route.ts; components\dashboard\alerts-table.tsx"
"lat","lat","app\api\responders\route.ts; app\api\nearby\route.ts"
"lng","lng","app\api\responders\route.ts; app\api\nearby\route.ts"
"radius","radius","app\api\responders\route.ts; app\api\nearby\route.ts"
"id_organization_verification_status_specialization","id,
        organization,
        verification_status,
        specializations,
        available,
        user_id,
        profiles!inner(
          email
        ),
        responder_locations!inner(
          location,
          updated_at
        )","app\api\responders\route.ts"
"responderid","responderId","app\api\responders\location\route.ts"
"userid","userId","app\api\push\route.ts; app\api\notifications\route.ts; app\api\alerts\route.ts"
"subscription","subscription","app\api\push\route.ts"
"unreadonly","unreadOnly","app\api\notifications\route.ts"
"chatid","chatId","app\api\chat\messages\route.ts"
"session_token","session-token","app\api\auth\login\route.ts"
"days","days","app\api\analytics\trends\route.ts; app\api\analytics\response-times\route.ts; app\api\analytics\response-time\route.ts; app\api\analytics\geographic\route.ts; app\api\analytics\alerts\route.ts"
"id_status_created_at_resolved_at_priority_response","id,
        status,
        created_at,
        resolved_at,
        priority,
        responses!inner(
          id,
          created_at,
          responder_id,
          status
        )","app\api\analytics\response-times\route.ts"
"id_status_urgency_level_created_at_location","id,
        status,
        urgency_level,
        created_at,
        location","app\api\analytics\geographic\route.ts"
"id_status_created_at_updated_at_urgency_level_emer","id, status, created_at, updated_at, urgency_level, emergency_type","app\api\analytics\alerts\route.ts"
"status","status","app\api\alerts\route.ts; components\dashboard\alerts-table.tsx"
"limit","limit","app\api\alerts\route.ts"
"user_id","user_id","app\api\alerts\panic\route.ts; app\api\alerts\broadcast\route.ts"
"id_user_id_organization_profiles_user_id_name","id,
        user_id,
        organization,
        profiles:user_id (
          name
        )","app\api\alerts\notify\route.ts"
"our_mission","Our Mission","app\about\page.tsx"
"our_values","Our Values","app\about\page.tsx"
"how_we_work","How We Work","app\about\page.tsx"
"our_impact","Our Impact","app\about\page.tsx"
"voicenotsupported","voiceNotSupported","components\voice-input.tsx; components\voice-input-v2.tsx"
"startrecording","startRecording","components\voice-input.tsx; components\voice-input-v2.tsx"
"stoprecording","stopRecording","components\voice-input.tsx; components\voice-input-v2.tsx"
"clear","clear","components\voice-input.tsx; components\voice-input-v2.tsx"
"recording","recording","components\voice-input.tsx; components\voice-input-v2.tsx"
"speaknow","speakNow","components\voice-input.tsx; components\voice-input-v2.tsx; components\sos-interface.tsx"
"voiceinput","voiceInput","components\voice-input.tsx"
"voiceinputerror","voiceInputError","components\voice-input-v2.tsx"
"nospeechdetected","noSpeechDetected","components\voice-input-v2.tsx"
"microphoneerror","microphoneError","components\voice-input-v2.tsx"
"microphonepermissiondenied","microphonePermissionDenied","components\voice-input-v2.tsx"
"voiceiniterror","voiceInitError","components\voice-input-v2.tsx"
"failedtostart","failedToStart","components\voice-input-v2.tsx"
"checkingvoicesupport","checkingVoiceSupport","components\voice-input-v2.tsx"
"voicenotsupporteddesc","voiceNotSupportedDesc","components\voice-input-v2.tsx"
"initializing","initializing","components\voice-input-v2.tsx"
"transcriptioncomplete","transcriptionComplete","components\voice-input-v2.tsx"
"clicktostartvoice","clickToStartVoice","components\voice-input-v2.tsx"
"voiceinputhint","voiceInputHint","components\voice-input-v2.tsx"
"translation_failed_please_try_again","Translation failed. Please try again.","components\translation-demo.tsx"
"try_live_translation","Try Live Translation","components\translation-demo.tsx"
"emergency_message","Emergency Message","components\translation-demo.tsx"
"translation","Translation","components\translation-demo.tsx"
"ai_classification","AI Classification","components\translation-demo.tsx"
"translation_will_appear_here","Translation will appear here","components\translation-demo.tsx"
"type_your_emergency_message","Type your emergency message...","components\translation-demo.tsx"
"emergencyalert","emergencyAlert","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"alertactive","alertActive","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"respondersnotified","respondersNotified","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"emergencyinterface","emergencyInterface","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"helpinonetap","helpInOneTap","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"sendsos","sendSOS","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"locationshared","locationShared","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"instantcontact","instantContact","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"multilingualtranslation","multilingualTranslation","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"autoescalate","autoEscalate","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"alertqueued","alertQueued","components\sos-interface.tsx"
"alertsavedoffline","alertSavedOffline","components\sos-interface.tsx"
"autoescalatein","autoEscalateIn","components\sos-interface.tsx"
"queued","queued","components\sos-interface.tsx"
"alert","alert","components\sos-interface.tsx"
"alerts","alerts","components\sos-interface.tsx"
"cancelalert","cancelAlert","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"emergencytype","emergencyType","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"additionaldetails","additionalDetails","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"describeemergency","describeEmergency","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"voiceemergencydetails","voiceEmergencyDetails","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"attachfiles","attachFiles","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"broadcasting","broadcasting","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"skipdetails","skipDetails","components\sos-interface.tsx; components\sos-interface-v2.tsx"
"cancel","cancel","components\sos-interface.tsx; components\sos-interface-v2.tsx; components\pwa-install-prompt.tsx"
"emergencytypes","emergencyTypes","components\sos-interface.tsx"
"sosdescription","sosDescription","components\sos-interface.tsx"
"emergency_medicalemergency","emergency.medicalEmergency","components\sos-interface-v2.tsx"
"emergency_medicalemergencydesc","emergency.medicalEmergencyDesc","components\sos-interface-v2.tsx"
"emergency_fireemergency","emergency.fireEmergency","components\sos-interface-v2.tsx"
"emergency_fireemergencydesc","emergency.fireEmergencyDesc","components\sos-interface-v2.tsx"
"emergency_securityemergency","emergency.securityEmergency","components\sos-interface-v2.tsx"
"emergency_securityemergencydesc","emergency.securityEmergencyDesc","components\sos-interface-v2.tsx"
"emergency_otheremergency","emergency.otherEmergency","components\sos-interface-v2.tsx"
"emergency_otheremergencydesc","emergency.otherEmergencyDesc","components\sos-interface-v2.tsx"
"locationerror","locationError","components\sos-interface-v2.tsx; components\nearby-emergency-resources.tsx"
"locationerrordesc","locationErrorDesc","components\sos-interface-v2.tsx; components\nearby-emergency-resources.tsx"
"sosalertsent","sosAlertSent","components\sos-interface-v2.tsx"
"failedtosendsos","failedToSendSOS","components\sos-interface-v2.tsx"
"requesttimeout","requestTimeout","components\sos-interface-v2.tsx"
"alertcancelled","alertCancelled","components\sos-interface-v2.tsx"
"alertcancelleddesc","alertCancelledDesc","components\sos-interface-v2.tsx"
"getting_location","Getting location...","components\sos-interface-v2.tsx"
"location_detected","Location detected:","components\sos-interface-v2.tsx"
"broadcasting_sos_signal","Broadcasting SOS Signal","components\sos-interface-v2.tsx"
"auto_escalation_in","Auto-escalation in:","components\sos-interface-v2.tsx"
"verified_responders","Verified Responders","components\responder-verification.tsx"
"no_responders_available","No Responders Available","components\responder-verification.tsx"
"contact_selectedresponder_name","Contact {selectedResponder.name}","components\responder-verification.tsx"
"active_alerts_subscription","Active Alerts Subscription","components\realtime-test-panel.tsx"
"chat_messages_subscription","Chat Messages Subscription","components\realtime-test-panel.tsx"
"real_time_notifications","Real-time Notifications","components\realtime-test-panel.tsx"
"responder_locations","Responder Locations","components\realtime-test-panel.tsx"
"push_notifications","Push Notifications","components\realtime-test-panel.tsx"
"realtime_features_test","Realtime Features Test","components\realtime-test-panel.tsx"
"last_tested_result_timestamp","Last tested: {result.timestamp}","components\realtime-test-panel.tsx"
"notifications","Notifications","components\real-time-notifications.tsx"
"no_notifications_yet","No notifications yet","components\real-time-notifications.tsx"
"installapp","installApp","components\pwa-install-prompt.tsx"
"nearby_responders","Nearby Responders","components\nearby-responders.tsx"
"verified_emergency_services_in_your_area","Verified emergency services in your area","components\nearby-responders.tsx"
"loading_nearby_responders","Loading nearby responders...","components\nearby-responders.tsx"
"all","all","components\nearby-emergency-resources.tsx"
"clinics","clinics","components\nearby-emergency-resources.tsx"
"pharmacies","pharmacies","components\nearby-emergency-resources.tsx"
"police","police","components\nearby-emergency-resources.tsx"
"firestations","fireStations","components\nearby-emergency-resources.tsx"
"nearbyresources","nearbyResources","components\nearby-emergency-resources.tsx"
"loadingnearbyplaces","loadingNearbyPlaces","components\nearby-emergency-resources.tsx"
"retrylocation","retryLocation","components\nearby-emergency-resources.tsx"
"noplacesfound","noPlacesFound","components\nearby-emergency-resources.tsx"
"noplacesdesc","noPlacesDesc","components\nearby-emergency-resources.tsx"
"refresh","refresh","components\nearby-emergency-resources.tsx"
"foundplaces","foundPlaces","components\nearby-emergency-resources.tsx"
"placesnearby","placesNearby","components\nearby-emergency-resources.tsx"
"website","website","components\nearby-emergency-resources.tsx"
"navigate","navigate","components\nearby-emergency-resources.tsx"
"loading","loading","components\nearby-emergency-resources.tsx; components\ui\spinner.tsx; components\dashboard\recent-activity.tsx"
"showingresults","showingResults","components\nearby-emergency-resources.tsx"
"results","results","components\nearby-emergency-resources.tsx"
"navigation_dashboard","navigation.dashboard","components\navbar.tsx"
"navigation_logout","navigation.logout","components\navbar.tsx"
"navigation_login","navigation.login","components\navbar.tsx"
"navigation_register","navigation.register","components\navbar.tsx"
"emergency_response","EMERGENCY RESPONSE","components\navbar.tsx"
"close_menu","Close menu","components\navbar.tsx"
"emergency_multilingualassistant","emergency.multilingualAssistant","components\multilingual-emergency-assistant.tsx"
"emergency_assistantdescription","emergency.assistantDescription","components\multilingual-emergency-assistant.tsx"
"emergency_detectedlanguage","emergency.detectedLanguage","components\multilingual-emergency-assistant.tsx"
"emergency_describeemergency","emergency.describeEmergency","components\multilingual-emergency-assistant.tsx"
"emergency_descriptionplaceholder","emergency.descriptionPlaceholder","components\multilingual-emergency-assistant.tsx"
"emergency_translateto","emergency.translateTo","components\multilingual-emergency-assistant.tsx"
"emergency_classifytype","emergency.classifyType","components\multilingual-emergency-assistant.tsx"
"emergency_translatenow","emergency.translateNow","components\multilingual-emergency-assistant.tsx"
"emergency_classification","emergency.classification","components\multilingual-emergency-assistant.tsx"
"emergency_category","emergency.category","components\multilingual-emergency-assistant.tsx"
"emergency_confidence","emergency.confidence","components\multilingual-emergency-assistant.tsx"
"emergency_keywords","emergency.keywords","components\multilingual-emergency-assistant.tsx"
